Name	1	2	3	4	5	6	7	8	9	10	11	12	13
aa1	0.367	0.397	0.427	0.47	0.5	0.534	0.581	0.628	0.675	0.726	0.785	0	0
aa2	0.367	0.397	0.427	0.47	0.5	0.534	0.581	0.628	0.675	0.726	0.785	0	0
aa3	0.475	0.513	0.552	0.607	0.646	0.69	0.75	0.811	0.872	0.938	1.01	0	0
aa4	0.498	0.538	0.579	0.636	0.677	0.723	0.787	0.85	0.914	0.983	1.06	0	0
aa5	0.621	0.671	0.722	0.794	0.844	0.902	0.982	1.06	1.14	1.23	1.33	0	0
ca1	0.473	0.512	0.55	0.605	0.644	0.688	0.748	0.809	0.869	0.935	1.01	0	0
ca2	0.602	0.651	0.7	0.77	0.819	0.875	0.952	1.03	1.11	1.19	1.29	0	0
cat	1.075	1.163	1.25	1.375	1.463	1.563	1.7	1.839	1.979	2.125	2.3	0	0
p	0.639	0.691	0.743	0.818	0.87	0.929	1.01	1.09	1.18	1.26	1.35	0	0
pl	1.28	1.38	1.49	1.64	1.74	1.86	2.02	2.18	2.35	2.53	2.71	0	0
ph	1.6	1.73	1.86	2.04	2.17	2.32	2.53	2.73	2.93	3.16	3.38	0	0
es_init	1.3	1.4	1.5	1.63	1.73	1.83	1.96	2.09	2.22	2.35	2.48	2.61	2.77
es_perhit	1.34	1.44	1.54	1.67	1.77	1.87	2	2.14	2.27	2.4	2.54	2.67	2.84
eb_init_c0	3.67	3.95	4.22	4.59	4.87	5.14	5.51	5.88	6.24	6.61	6.98	7.34	7.8
eb_perhit_c0	0.72	0.774	0.828	0.9	0.954	1	1.08	1.15	1.22	1.29	1.36	1.44	1.53
eb_hits	7	7	7	7	7	7	7	7	7	7	7	7	7
