Sword	Refinement	Artifact set	Mainstats	E optimized substat ATK%/DEF%/CR/CD	Rotation optimized substat ATK%/DEF%/CR/CD	E optimized damage	Rotation optimized damage
Aquila Favonia no proc	1	2-glad-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	242902.6541454087
Aquila Favonia no proc	2	2-glad-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	244512.0197463312
Aquila Favonia no proc	3	2-glad-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	246121.3853472537
Aquila Favonia no proc	4	2-glad-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	247730.75094817622
Aquila Favonia no proc	5	2-glad-2-petra	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11582.89276032	249351.61411572841
Aquila Favonia no proc	1	2-glad-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	10670.374948319999	229055.50969569842
Aquila Favonia no proc	2	2-glad-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	10670.374948319999	230684.67109091842
Aquila Favonia no proc	3	2-glad-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	10670.374948319999	232313.8324861384
Aquila Favonia no proc	4	2-glad-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	10670.374948319999	233942.9938813584
Aquila Favonia no proc	5	2-glad-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	10670.374948319999	235572.15527657839
Aquila Favonia no proc	1	2-petra-2-no	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	241649.5922986377
Aquila Favonia no proc	2	2-petra-2-no	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	243372.3486083102
Aquila Favonia no proc	3	2-petra-2-no	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	245095.1049179827
Aquila Favonia no proc	4	2-petra-2-no	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	246817.8612276552
Aquila Favonia no proc	5	2-petra-2-no	ATK%/GEO/DEF%	0/20/0/0	0/19/1/0	11582.89276032	248540.61753732775
Aquila Favonia no proc	1	2-def-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	231080.19756130417
Aquila Favonia no proc	2	2-def-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	232461.4674761357
Aquila Favonia no proc	3	2-def-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	233842.73739096726
Aquila Favonia no proc	4	2-def-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/17/3/0	11433.894516	235230.30893613742
Aquila Favonia no proc	5	2-def-2-glad	ATK%/GEO/DEF%	0/20/0/0	0/17/3/0	11433.894516	236631.4720693747
Aquila Favonia no proc	1	2-def-2-no	ATK%/GEO/DEF%	0/20/0/0	0/18/2/0	11433.894516	230381.8970233683
