Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	7745
Aquila Favonia	1	4-glad	ATK%/PHYS/CD	0/18/2	7557
Summit Shaper 5 stacks	1	2-bc-2-pf	ATK%/PHYS/CR	0/8/12	7180
Prototype Rancour 4 stacks	5	4-glad	ATK%/PHYS/CR	0/8/12	6927
Blackcliff Longsword 3 stacks	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	6923
Lion's Roar with active	5	4-glad	ATK%/PHYS/CR	0/8/12	6815
Summit Shaper 0 stack	1	2-bc-2-pf	ATK%/PHYS/CR	0/8/12	6728
Skyward Blade with active	1	4-glad	ATK%/PHYS/CR	3/6/11	6641
Primordial Jade Cutter	1	2-bc-2-pf	ATK%/PHYS/CR	0/8/12	6437
The Alley Flash with active	5	4-glad	ATK%/PHYS/CR	3/7/10	6054
Prototype Rancour 0 stack	1	4-glad	ATK%/PHYS/CR	2/7/11	5998
The Black Sword	5	4-glad	ATK%/PHYS/CR	1/8/11	5788
Lion's Roar no active	1	4-glad	ATK%/PHYS/CR	0/8/12	5745
Royal Longsword	1	4-glad	ATK%/PHYS/CR	0/8/12	5745
The Flute	1	4-glad	ATK%/PHYS/CR	0/8/12	5745
Cool Steel with active	5	4-glad	ATK%/PHYS/CR	0/8/12	5514
Skyward Blade no active	1	4-glad	ATK%/PHYS/CR	3/6/11	5471
Iron Sting 2 stacks	5	4-glad	ATK%/PHYS/CR	1/8/11	5391
The Alley Flash no active	1	4-glad	ATK%/PHYS/CR	3/7/10	5385
Sword of Descension	1	4-glad	ATK%/PHYS/CR	0/8/12	5155
Harbinger of Dawn with active	5	4-glad	ATK%/PHYS/CR	0/4/16	5139
Blackcliff Longsword 0 stack	1	4-glad	ATK%/PHYS/CD	2/17/1	5090
Dark Iron Sword with active	5	2-bc-2-pf	ATK%/PHYS/CR	0/8/12	5008
Cool Steel no active	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	4907
Fillet Blade	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	4907
Iron Sting 0 stack	1	4-glad	ATK%/PHYS/CR	1/8/11	4795
Festering Desire	1	4-glad	ATK%/PHYS/CR	1/8/11	4795
Favonius Sword	1	4-glad	ATK%/PHYS/CR	1/8/11	4498
Sacrificial Sword	1	4-glad	ATK%/PHYS/CR	1/8/11	4498
Traveler's Handy Sword	1	4-glad	ATK%/PHYS/CR	1/8/11	4466
Skyrider Sword with active	5	4-glad	ATK%/PHYS/CD	0/18/2	4402
Dark Iron Sword no active	1	4-glad	ATK%/PHYS/CR	0/8/12	4217
Harbinger of Dawn no active	1	4-glad	ATK%/PHYS/CR	0/8/12	4217
Skyrider Sword no active	1	4-glad	ATK%/PHYS/CR	0/8/12	3968
