Sword	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	7745.286600647097
Aquila Favonia	4-glad	ATK%/PHYS/CD	0/18/2	7557.121718587287
Summit Shaper 5 stacks	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	7180.581770918611
Summit Shaper 0 stack	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	6728.817907135822
Skyward Blade with active	4-glad	ATK%/PHYS/CD	2/16/2	6641.591080524418
Prototype Rancour 4 stacks	4-glad	ATK%/PHYS/CD	0/18/2	6459.649984968969
Primordial Jade Cutter	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	6437.704262927997
Lion's Roar with active	4-glad	ATK%/PHYS/CD	0/18/2	6340.173511335599
Prototype Rancour 0 stack	4-glad	ATK%/PHYS/CD	2/17/1	5998.68311282449
Blackcliff Longsword 3 stacks	4-glad	ATK%/PHYS/CD	0/18/2	5977.76953028706
Lion's Roar no active	4-glad	ATK%/PHYS/CD	0/18/2	5745.689356498693
Royal Longsword	4-glad	ATK%/PHYS/CD	0/18/2	5745.689356498693
The Flute	4-glad	ATK%/PHYS/CD	0/18/2	5745.689356498693
The Alley Flash with active	4-glad	ATK%/PHYS/CR	3/7/10	5720.162692362176
Skyward Blade no active	4-glad	ATK%/PHYS/CD	2/16/2	5471.676920536034
The Alley Flash no active	4-glad	ATK%/PHYS/CR	3/7/10	5385.813192565069
The Black Sword	4-glad	ATK%/PHYS/CR	1/8/11	5292.218479049904
Cool Steel with active	4-glad	ATK%/PHYS/CD	0/18/2	5210.29623467879
Sword of Descension	4-glad	ATK%/PHYS/CD	0/18/2	5155.95859445287
Iron Sting 2 stacks	4-glad	ATK%/PHYS/CR	1/8/11	5093.729272146954
Blackcliff Longsword 0 stack	4-glad	ATK%/PHYS/CD	2/17/1	5090.190718652213
Cool Steel no active	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	4907.125801087071
Fillet Blade	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	4907.125801087071
Iron Sting 0 stack	4-glad	ATK%/PHYS/CR	1/8/11	4795.995461792529
Festering Desire	4-glad	ATK%/PHYS/CR	1/8/11	4795.995461792529
Harbinger of Dawn with active	4-glad	ATK%/PHYS/CR	0/6/14	4655.579540315618
Dark Iron Sword with active	4-glad	ATK%/PHYS/CD	0/18/2	4608.510633453663
Favonius Sword	4-glad	ATK%/PHYS/CR	1/8/11	4498.041343200451
Sacrificial Sword	4-glad	ATK%/PHYS/CR	1/8/11	4498.041343200451
Traveler's Handy Sword	4-glad	ATK%/PHYS/CR	1/8/11	4466.117687637014
Dark Iron Sword no active	4-glad	ATK%/PHYS/CD	0/18/2	4217.40756787971
Harbinger of Dawn no active	4-glad	ATK%/PHYS/CD	0/18/2	4217.40756787971
Skyrider Sword with active	4-glad	ATK%/PHYS/CD	0/18/2	4185.547759861443
Skyrider Sword no active	4-glad	ATK%/PHYS/CD	0/18/2	3968.9961117308408
Silver Sword	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	2298.6323934902694
Dull Blade	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	2247.905844447257
