Sword	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	4-glad	ATK%/CRYO/CD	0/18/2	7195.580432301183
Summit Shaper 5 stacks	4-glad	ATK%/CRYO/CD	0/18/2	6703.2597550150895
Summit Shaper 0 stack	4-glad	ATK%/CRYO/CD	0/18/2	6309.403213186215
Skyward Blade with active	4-glad	ATK%/CRYO/CD	2/16/2	6277.284396782572
Primordial Jade Cutter	4-glad	ATK%/CRYO/CD	0/18/2	6019.766614732832
Lion's Roar with active	4-glad	ATK%/CRYO/CD	0/18/2	5992.400280756009
Aquila Favonia	4-glad	ATK%/CRYO/CD	0/18/2	5849.843580969528
Blackcliff Longsword 3 stacks	4-glad	ATK%/CRYO/CD	0/18/2	5615.949025867202
Lion's Roar no active	4-glad	ATK%/CRYO/CD	0/18/2	5397.916125919103
Royal Longsword	4-glad	ATK%/CRYO/CD	0/18/2	5397.916125919103
The Flute	4-glad	ATK%/CRYO/CD	0/18/2	5397.916125919103
The Alley Flash with active	4-glad	ATK%/CRYO/+CR	3/7/10	5394.171930059997
Prototype Rancour 4 stacks	4-glad	ATK%/CRYO/CD	0/18/2	5149.571717604763
Skyward Blade no active	4-glad	ATK%/CRYO/CD	2/16/2	5140.489026225266
The Alley Flash no active	4-glad	ATK%/CRYO/+CR	3/7/10	5059.822430262889
The Black Sword	4-glad	ATK%/CRYO/+CR	1/8/11	5001.92801395434
Cool Steel with active	4-glad	ATK%/CRYO/CD	0/18/2	4913.3626450745915
Sword of Descension	4-glad	ATK%/CRYO/CD	0/18/2	4843.88039706488
Iron Sting 2 stacks	4-glad	ATK%/CRYO/+CR	1/8/11	4803.438807051389
Blackcliff Longsword 0 stack	4-glad	ATK%/CRYO/CD	2/17/1	4782.093298019875
Prototype Rancour 0 stack	4-glad	ATK%/CRYO/CD	2/17/1	4782.093298019875
Cool Steel no active	4-glad	ATK%/CRYO/CD	0/18/2	4608.81537368567
Fillet Blade	4-glad	ATK%/CRYO/CD	0/18/2	4608.81537368567
Iron Sting 0 stack	4-glad	ATK%/CRYO/+CR	1/8/11	4505.704996696964
Festering Desire	4-glad	ATK%/CRYO/+CR	1/8/11	4505.704996696964
Harbinger of Dawn with active	4-glad	ATK%/CRYO/+CR	0/6/14	4373.7881247869445
Dark Iron Sword with active	4-glad	ATK%/CRYO/CD	0/18/2	4329.5681895250145
Favonius Sword	4-glad	ATK%/CRYO/+CR	1/8/11	4225.785348811184
Sacrificial Sword	4-glad	ATK%/CRYO/+CR	1/8/11	4225.785348811184
Traveler's Handy Sword	4-glad	ATK%/CRYO/+CR	1/8/11	4195.793957966279
Dark Iron Sword no active	4-glad	ATK%/CRYO/CD	0/18/2	3962.1376840504677
Harbinger of Dawn no active	4-glad	ATK%/CRYO/CD	0/18/2	3962.1376840504677
Skyrider Sword with active	4-glad	ATK%/CRYO/CD	0/18/2	3932.2062762071305
Skyrider Sword no active	4-glad	ATK%/CRYO/CD	0/18/2	3728.761996328612
Silver Sword	4-glad	ATK%/CRYO/CD	0/18/2	2134.8557035899867
Dull Blade	4-glad	ATK%/CRYO/CD	0/18/2	2085.2013019470387
