Sword	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	4-bolide with shield	ATK%/CRYO/CD	0/18/2	16541.95093489876
Summit Shaper 5 stacks	4-bolide with shield	ATK%/CRYO/CD	0/18/2	15335.88587007746
Summit Shaper 0 stack	4-bolide with shield	ATK%/CRYO/CD	0/18/2	14371.033818220421
Skyward Blade with active	4-bs cryo	ATK%/CRYO/CD	6/11/3	14268.08636408889
Lion's Roar with active	4-bs cryo	ATK%/CRYO/+CR	0/5/15	13750.69704360051
Primordial Jade Cutter	4-bolide with shield	ATK%/CRYO/CD	0/18/2	13749.289541054088
Aquila Favonia	4-bolide with shield	ATK%/CRYO/+CR	3/7/10	13185.492921634339
Blackcliff Longsword 3 stacks	4-bolide with shield	ATK%/CRYO/CD	0/18/2	12729.440331032833
Lion's Roar no active	4-bolide with shield	ATK%/CRYO/CD	0/18/2	12268.47516875775
Royal Longsword	4-bolide with shield	ATK%/CRYO/CD	0/18/2	12268.47516875775
The Flute	4-bolide with shield	ATK%/CRYO/CD	0/18/2	12268.47516875775
The Alley Flash with active	4-bolide with shield	ATK%/CRYO/ATK%	18/2/0	12209.80274151036
Prototype Rancour 4 stacks	4-bolide with shield	ATK%/CRYO/+CR	3/7/10	11607.81140225471
Skyward Blade no active	4-bolide with shield	ATK%/CRYO/+CR	7/4/9	11594.77358597309
The Alley Flash no active	4-bolide with shield	ATK%/CRYO/ATK%	18/2/0	11472.05030999916
The Black Sword	4-bs cryo	ATK%/CRYO/+CR	5/3/12	11368.575098199262
Cool Steel with active	4-bs cryo	ATK%/CRYO/+CR	0/5/15	11229.086561697279
Sword of Descension	4-bolide with shield	ATK%/CRYO/CD	0/18/2	11004.338662273673
Iron Sting 2 stacks	4-bs cryo	ATK%/CRYO/+CR	5/3/12	10867.756811934978
Blackcliff Longsword 0 stack	4-bolide with shield	ATK%/CRYO/ATK%	18/2/0	10799.375774115813
Prototype Rancour 0 stack	4-bolide with shield	ATK%/CRYO/ATK%	18/2/0	10799.375774115813
Cool Steel no active	4-bolide with shield	ATK%/CRYO/CD	0/18/2	10480.365468487154
Fillet Blade	4-bolide with shield	ATK%/CRYO/CD	0/18/2	10480.365468487154
Iron Sting 0 stack	4-bolide with shield	ATK%/CRYO/+CR	7/5/8	10164.461035393311
Festering Desire	4-bolide with shield	ATK%/CRYO/+CR	7/5/8	10164.461035393311
Harbinger of Dawn with active	4-bolide with shield	ATK%/CRYO/CD	3/14/3	9848.752897661165
Dark Iron Sword with active	4-bolide with shield	ATK%/CRYO/CD	0/18/2	9796.278269220133
Favonius Sword	4-bolide with shield	ATK%/CRYO/+CR	5/6/9	9528.278003025714
Sacrificial Sword	4-bolide with shield	ATK%/CRYO/+CR	5/6/9	9528.278003025714
Traveler's Handy Sword	4-bolide with shield	ATK%/CRYO/+CR	5/6/9	9460.490632893112
Dark Iron Sword no active	4-bolide with shield	ATK%/CRYO/CD	4/16/0	8930.137487741616
Harbinger of Dawn no active	4-bolide with shield	ATK%/CRYO/CD	4/16/0	8930.137487741616
Skyrider Sword with active	4-bolide with shield	ATK%/CRYO/CD	0/18/2	8885.359200470111
Skyrider Sword no active	4-bolide with shield	ATK%/CRYO/+CR	3/7/10	8404.636698061451
Silver Sword	4-bolide with shield	ATK%/CRYO/CD	0/18/2	4909.290802396924
Dull Blade	4-bolide with shield	ATK%/CRYO/CD	0/18/2	4800.951869490795
