Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Primordial Jade Cutter	1	4-bs cryo	ATK%/CRYO/CD	1/8/11	25946
Blackcliff Longsword 3 stacks	5	4-bs cryo	ATK%/CRYO/CR	0/8/12	23443
Summit Shaper 5 stacks with shield	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	23042
Festering Desire	5	4-bs cryo	ATK%/CRYO/CD	5/12/3	21790
Summit Shaper 5 stacks	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	21362
Lion's Roar with active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	20896
Blackcliff Longsword 3 stacks	1	4-bs cryo	ATK%/CRYO/CR	0/8/12	20182
Summit Shaper 0 stack	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	20018
Lion's Roar with active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	19204
Aquila Favonia	1	4-bs cryo	ATK%/CRYO/CR	2/4/14	18354
The Alley Flash with active	5	4-bs cryo	ATK%/CRYO/CR	6/2/12	18216
Harbinger of Dawn with active	5	4-bs cryo	ATK%/CRYO/CR	5/2/13	17807
Prototype Rancour 4 stacks	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	17413
The Black Sword	1	4-bs cryo	ATK%/CRYO/CD	5/8/7	17169
The Black Sword	5	4-bs cryo	ATK%/CRYO/CD	5/8/7	17169
Lion's Roar no active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
Lion's Roar no active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
Royal Longsword	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
Royal Longsword	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
The Flute	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
The Flute	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
Blackcliff Longsword 0 stack	1	4-bs cryo	ATK%/CRYO/CD	5/15/0	17075
Blackcliff Longsword 0 stack	5	4-bs cryo	ATK%/CRYO/CD	5/15/0	17075
The Alley Flash with active	1	4-bs cryo	ATK%/CRYO/CR	6/2/12	17038
Cool Steel with active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	16766
Iron Sting 2 stacks	5	4-bs cryo	ATK%/CRYO/CR	5/3/12	16227
Harbinger of Dawn with active	1	4-bs cryo	ATK%/CRYO/CD	4/14/2	16170
Prototype Rancour 4 stacks	1	4-bs cryo	ATK%/CRYO/CR	2/4/14	16159
Skyward Blade no active	1	4-bs cryo	ATK%/CRYO/CD	6/11/3	16120
Skyward Blade with active	1	4-bs cryo	ATK%/CRYO/CD	6/11/3	16120
The Alley Flash no active	1	4-bs cryo	ATK%/CRYO/CR	6/2/12	15860
The Alley Flash no active	5	4-bs cryo	ATK%/CRYO/CR	6/2/12	15860
Cool Steel with active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	15682
Sword of Descension	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	15328
Sword of Descension	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	15328
Iron Sting 2 stacks	1	4-bs cryo	ATK%/CRYO/CR	5/3/12	15178
Festering Desire	1	4-bs cryo	ATK%/CRYO/CD	5/12/3	15097
Prototype Rancour 0 stack	1	4-bs cryo	ATK%/CRYO/CR	5/3/12	14993
Prototype Rancour 0 stack	5	4-bs cryo	ATK%/CRYO/CR	5/3/12	14993
Dark Iron Sword with active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	14899
Harbinger of Dawn no active	1	4-bs cryo	ATK%/CRYO/CR	4/7/9	14662
Harbinger of Dawn no active	5	4-bs cryo	ATK%/CRYO/CR	4/7/9	14662
Cool Steel no active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Cool Steel no active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Fillet Blade	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Fillet Blade	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Iron Sting 0 stack	1	4-bs cryo	ATK%/CRYO/CR	5/3/12	14128
Iron Sting 0 stack	5	4-bs cryo	ATK%/CRYO/CR	5/3/12	14128
Dark Iron Sword with active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	13645
Favonius Sword	1	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Favonius Sword	5	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Sacrificial Sword	1	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Sacrificial Sword	5	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Traveler's Handy Sword	1	4-bs cryo	ATK%/CRYO/CR	4/3/13	13158
Traveler's Handy Sword	5	4-bs cryo	ATK%/CRYO/CR	4/3/13	13158
Skyrider Sword with active	5	4-bs cryo	ATK%/CRYO/CR	0/5/15	13071
Dark Iron Sword no active	1	4-bs cryo	ATK%/CRYO/CR	3/4/13	12427
Dark Iron Sword no active	5	4-bs cryo	ATK%/CRYO/CR	3/4/13	12427
Skyrider Sword with active	1	4-bs cryo	ATK%/CRYO/CR	0/5/15	12376
Skyrider Sword no active	1	4-bs cryo	ATK%/CRYO/CR	2/4/14	11699
Skyrider Sword no active	5	4-bs cryo	ATK%/CRYO/CR	2/4/14	11699
