Sword	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	4-bs cryo	ATK%/CRYO/CR	0/5/15	23042
Summit Shaper 5 stacks	4-bs cryo	ATK%/CRYO/CR	0/5/15	21362
Summit Shaper 0 stack	4-bs cryo	ATK%/CRYO/CR	0/5/15	20018
Lion's Roar with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	19204
Primordial Jade Cutter	4-bs cryo	ATK%/CRYO/CR	0/5/15	19152
Aquila Favonia	4-bs cryo	ATK%/CRYO/CR	2/4/14	18354
Blackcliff Longsword 3 stacks	4-bs cryo	ATK%/CRYO/CR	0/5/15	17731
Lion's Roar no active	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
Royal Longsword	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
The Flute	4-bs cryo	ATK%/CRYO/CR	0/5/15	17089
The Alley Flash with active	4-bs cryo	ATK%/CRYO/CR	6/2/12	17038
Prototype Rancour 4 stacks	4-bs cryo	ATK%/CRYO/CR	2/4/14	16159
Skyward Blade no active	4-bs cryo	ATK%/CRYO/CD	6/11/3	16120
Skyward Blade with active	4-bs cryo	ATK%/CRYO/CD	6/11/3	16120
The Alley Flash no active	4-bs cryo	ATK%/CRYO/CR	6/2/12	15860
Cool Steel with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	15682
Sword of Descension	4-bs cryo	ATK%/CRYO/CR	0/5/15	15328
Iron Sting 2 stacks	4-bs cryo	ATK%/CRYO/CR	5/3/12	15178
Festering Desire	4-bs cryo	ATK%/CRYO/CD	5/12/3	15097
Blackcliff Longsword 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	14993
Prototype Rancour 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	14993
Cool Steel no active	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Fillet Blade	4-bs cryo	ATK%/CRYO/CR	0/5/15	14598
Iron Sting 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	14128
The Black Sword	4-bs cryo	ATK%/CRYO/CR	5/3/12	14128
Harbinger of Dawn with active	4-bs cryo	ATK%/CRYO/CD	3/11/6	13720
Dark Iron Sword with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	13645
Favonius Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Sacrificial Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	13251
Traveler's Handy Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	13158
Dark Iron Sword no active	4-bs cryo	ATK%/CRYO/CR	3/4/13	12427
Harbinger of Dawn no active	4-bs cryo	ATK%/CRYO/CR	3/4/13	12427
Skyrider Sword with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	12376
Skyrider Sword no active	4-bs cryo	ATK%/CRYO/CR	2/4/14	11699
Silver Sword	4-bs cryo	ATK%/CRYO/CR	0/5/15	6838
Dull Blade	4-bs cryo	ATK%/CRYO/CR	0/5/15	6687
