Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Mistsplitter Reforged 3 stacks	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	11364
Blackcliff Longsword 3 stacks	5	4-bs frozen	ATK%/CRYO/CR	0/5/15	10907
Summit Shaper 5 stacks with shield	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	10746
Mistsplitter Reforged 2 stacks	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	10687
Primordial Jade Cutter	1	4-bs frozen	ATK%/CRYO/CD	3/3/14	10523
Mistsplitter Reforged 1 stack	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	10123
Summit Shaper 5 stacks	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	9963
Mistsplitter Reforged	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	9785
Lion's Roar with active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	9746
Blackcliff Longsword 3 stacks	1	4-bs frozen	ATK%/CRYO/CR	0/5/15	9390
Summit Shaper 0 stack	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	9336
Lion's Roar with active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	8956
Aquila Favonia no proc	1	4-bs frozen	ATK%/CRYO/CR	3/1/16	8565
The Alley Flash with active	5	4-bs frozen	ATK%/CRYO/CD	6/9/5	8501
Harbinger of Dawn with active	5	4-bs frozen	ATK%/CRYO/CD	6/8/6	8260
Prototype Rancour 4 stacks	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	8121
The Black Sword	1	4-bs frozen	ATK%/CRYO/CD	5/5/10	7996
The Black Sword	5	4-bs frozen	ATK%/CRYO/CD	5/5/10	7996
Lion's Roar no active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	7970
Lion's Roar no active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	7970
Royal Longsword	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	7970
Royal Longsword	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	7970
The Flute	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	7970
