Sword	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Summit Shaper 5 stacks with shield	4-bs cryo	ATK%/CRYO/CR	0/5/15	9337
Summit Shaper 5 stacks	4-bs cryo	ATK%/CRYO/CR	0/5/15	8656
Summit Shaper 0 stack	4-bs cryo	ATK%/CRYO/CR	0/5/15	8111
Lion's Roar with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	7782
Primordial Jade Cutter	4-bs cryo	ATK%/CRYO/CR	0/5/15	7761
Aquila Favonia	4-bs cryo	ATK%/CRYO/CR	2/4/14	7437
Blackcliff Longsword 3 stacks	4-bs cryo	ATK%/CRYO/CR	0/5/15	7185
Lion's Roar no active	4-bs cryo	ATK%/CRYO/CR	0/5/15	6925
Royal Longsword	4-bs cryo	ATK%/CRYO/CR	0/5/15	6925
The Flute	4-bs cryo	ATK%/CRYO/CR	0/5/15	6925
The Alley Flash with active	4-bs cryo	ATK%/CRYO/CR	6/2/12	6904
Prototype Rancour 4 stacks	4-bs cryo	ATK%/CRYO/CR	2/4/14	6548
Skyward Blade no active	4-bs cryo	ATK%/CRYO/CD	6/11/3	6532
Skyward Blade with active	4-bs cryo	ATK%/CRYO/CD	6/11/3	6532
The Alley Flash no active	4-bs cryo	ATK%/CRYO/CR	6/2/12	6427
Cool Steel with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	6355
Sword of Descension	4-bs cryo	ATK%/CRYO/CR	0/5/15	6211
Iron Sting 2 stacks	4-bs cryo	ATK%/CRYO/CR	5/3/12	6150
Blackcliff Longsword 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	6075
Prototype Rancour 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	6075
Cool Steel no active	4-bs cryo	ATK%/CRYO/CR	0/5/15	5915
Fillet Blade	4-bs cryo	ATK%/CRYO/CR	0/5/15	5915
Iron Sting 0 stack	4-bs cryo	ATK%/CRYO/CR	5/3/12	5725
Festering Desire	4-bs cryo	ATK%/CRYO/CR	5/3/12	5725
The Black Sword	4-bs cryo	ATK%/CRYO/CR	5/3/12	5725
Harbinger of Dawn with active	4-bs cryo	ATK%/CRYO/CR	3/2/15	5559
Dark Iron Sword with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	5529
Favonius Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	5370
Sacrificial Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	5370
Traveler's Handy Sword	4-bs cryo	ATK%/CRYO/CR	4/3/13	5332
Dark Iron Sword no active	4-bs cryo	ATK%/CRYO/CR	3/4/13	5035
Harbinger of Dawn no active	4-bs cryo	ATK%/CRYO/CR	3/4/13	5035
Skyrider Sword with active	4-bs cryo	ATK%/CRYO/CR	0/5/15	5015
Skyrider Sword no active	4-bs cryo	ATK%/CRYO/CR	2/4/14	4740
Silver Sword	4-bs cryo	ATK%/CRYO/CR	0/5/15	2771
Dull Blade	4-bs cryo	ATK%/CRYO/CR	0/5/15	2709
