Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Mistsplitter Reforged 3 stacks	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	316104
Blackcliff Longsword 3 stacks	5	4-bs frozen	ATK%/CRYO/CR	0/5/15	303395
Summit Shaper 5 stacks with shield	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	298936
Mistsplitter Reforged 2 stacks	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	297288
Primordial Jade Cutter	1	4-bs frozen	ATK%/CRYO/CD	3/3/14	292718
Mistsplitter Reforged 1 stack	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	281609
Summit Shaper 5 stacks	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	277140
Mistsplitter Reforged	1	4-bs frozen	ATK%/CRYO/CR	7/2/11	272201
Lion's Roar with active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	271098
Blackcliff Longsword 3 stacks	1	4-bs frozen	ATK%/CRYO/CR	0/5/15	261197
Summit Shaper 0 stack	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	259704
Lion's Roar with active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	249147
The Black Sword	5	4-bs frozen	ATK%/CRYO/CD	5/5/10	247941
Aquila Favonia no proc	1	4-bs frozen	ATK%/CRYO/CD	3/10/7	238252
The Alley Flash with active	5	4-bs frozen	ATK%/CRYO/CD	6/9/5	236479
The Black Sword	1	4-bs frozen	ATK%/CRYO/CD	5/5/10	235192
Skyward Blade with proc	1	4-bs frozen	ATK%/CRYO/CD	6/8/6	232173
Harbinger of Dawn with active	5	4-bs frozen	ATK%/CRYO/CD	6/8/6	229768
Prototype Rancour 4 stacks	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	225909
Lion's Roar no active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
Lion's Roar no active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
Royal Longsword	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
Royal Longsword	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
The Flute	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
The Flute	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	221708
Blackcliff Longsword 0 stack	1	4-bs frozen	ATK%/CRYO/CR	6/2/12	221527
Blackcliff Longsword 0 stack	5	4-bs frozen	ATK%/CRYO/CR	6/2/12	221527
The Alley Flash with active	1	4-bs frozen	ATK%/CRYO/CD	6/9/5	221189
Cool Steel with active	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	217522
Iron Sting 2 stacks	5	4-bs frozen	ATK%/CRYO/CD	5/9/6	210677
Prototype Rancour 4 stacks	1	4-bs frozen	ATK%/CRYO/CR	2/1/17	209752
Skyward Blade no proc	1	4-bs frozen	ATK%/CRYO/CD	6/8/6	209288
Harbinger of Dawn with active	1	4-bs frozen	ATK%/CRYO/CR	5/1/14	209105
The Alley Flash no active	1	4-bs frozen	ATK%/CRYO/CD	6/9/5	205900
The Alley Flash no active	5	4-bs frozen	ATK%/CRYO/CD	6/9/5	205900
Cool Steel with active	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	203458
Sword of Descension	1	4-bs frozen	ATK%/CRYO/CR	0/2/18	198863
Sword of Descension	5	4-bs frozen	ATK%/CRYO/CR	0/2/18	198863
Iron Sting 2 stacks	1	4-bs frozen	ATK%/CRYO/CD	5/9/6	197055
