Sword	Refinement	Artifact	Mainstat sand/gob/circ	Substat ATK%/CR/CD	Average DMG
Blackcliff Longsword 3 stacks	5	2-bc-2-pf	ATK%/PHYS/CR	0/11/9	213299
Summit Shaper 5 stacks with shield	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	209544
Primordial Jade Cutter	1	2-bc-2-pf	ATK%/PHYS/CD	0/11/9	207337
Lion's Roar with active	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	197929
Aquila Favonia no proc	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	194391
Summit Shaper 5 stacks	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	194266
Blackcliff Longsword 3 stacks	1	2-bc-2-pf	ATK%/PHYS/CR	0/11/9	183632
The Black Sword	5	2-bc-2-pf	ATK%/ATK%/CR	0/4/16	182280
Summit Shaper 0 stack	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	182044
Lion's Roar with active	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	178031
Prototype Rancour 4 stacks	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	177978
The Alley Flash with active	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	175297
The Black Sword	1	2-bc-2-pf	ATK%/ATK%/CR	0/4/16	170365
Skyward Blade with proc	1	2-bc-2-pf	ATK%/ATK%/CD	0/17/3	169815
Prototype Rancour 4 stacks	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	167249
Harbinger of Dawn with active	5	2-bc-2-pf	ATK%/ATK%/CD	0/17/3	163914
The Alley Flash with active	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	161002
Blackcliff Longsword 0 stack	1	2-bc-2-pf	ATK%/ATK%/CR	0/11/9	157780
Blackcliff Longsword 0 stack	5	2-bc-2-pf	ATK%/ATK%/CR	0/11/9	157780
Prototype Rancour 0 stack	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	156521
Prototype Rancour 0 stack	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	156521
Cool Steel with active	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	156146
Iron Sting 2 stacks	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	155799
Lion's Roar no active	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
Lion's Roar no active	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
Royal Longsword	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
Royal Longsword	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
The Flute	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
The Flute	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	155410
Skyward Blade no proc	1	2-bc-2-pf	ATK%/ATK%/CD	0/17/3	149076
Harbinger of Dawn with active	1	2-bc-2-pf	ATK%/ATK%/CD	0/19/1	148734
The Alley Flash no active	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	146707
The Alley Flash no active	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	146707
Cool Steel with active	1	2-glad-2-bc	ATK%/PHYS/CD	0/18/2	143424
Iron Sting 2 stacks	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	143094
Sword of Descension	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	139396
Sword of Descension	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	139396
Festering Desire	5	2-bc-2-pf	ATK%/ATK%/CR	0/8/12	138522
Dark Iron Sword with proc	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	135496
Harbinger of Dawn no active	1	2-bc-2-pf	ATK%/ATK%/CR	0/12/8	134798
Harbinger of Dawn no active	5	2-bc-2-pf	ATK%/ATK%/CR	0/12/8	134798
Festering Desire	1	2-bc-2-pf	ATK%/ATK%/CR	0/8/12	134324
Cool Steel no active	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	132759
Cool Steel no active	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	132759
Fillet Blade	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	132759
Fillet Blade	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	132759
Iron Sting 0 stack	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	130389
Iron Sting 0 stack	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	130389
Dark Iron Sword with proc	1	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	124093
Favonius Sword	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	122082
Favonius Sword	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	122082
Sacrificial Sword	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	122082
Sacrificial Sword	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	122082
Traveler's Handy Sword	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	121192
Traveler's Handy Sword	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	121192
Skyrider Sword with proc	5	2-bc-2-pf	ATK%/PHYS/CD	0/18/2	118868
Dark Iron Sword no proc	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	114220
Dark Iron Sword no proc	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	114220
Skyrider Sword with proc	1	2-glad-2-bc	ATK%/PHYS/CD	0/18/2	112616
Skyrider Sword no proc	1	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	107248
Skyrider Sword no proc	5	2-bc-2-pf	ATK%/ATK%/CD	0/18/2	107248
