Sword	Refinement	Artifact set	Mainstats	Substat ATK%/CR/CD (N=18)	Substat ATK%/CR/CD (N=20)	Substat ATK%/CR/CD (N=25)
Aquila Favonia no proc	1	4-glad	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-glad	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-glad	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-glad	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-glad	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-bc no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-bc no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-bc no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-bc no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-bc no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-bc with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-bc with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-bc with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-bc with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-bc with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-bs no cryo	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-bs no cryo	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-bs no cryo	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-bs no cryo	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-bs no cryo	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-bs cryo	ATK%/PHYS/ATK%	0/9/9	0/10/10	0/12/13
Aquila Favonia no proc	2	4-bs cryo	ATK%/PHYS/ATK%	0/9/9	0/10/10	0/12/13
Aquila Favonia no proc	3	4-bs cryo	ATK%/PHYS/ATK%	0/9/9	0/10/10	0/12/13
Aquila Favonia no proc	4	4-bs cryo	ATK%/PHYS/ATK%	0/9/9	0/10/10	0/12/13
Aquila Favonia no proc	5	4-bs cryo	ATK%/PHYS/ATK%	0/9/9	0/10/10	0/12/13
Aquila Favonia no proc	1	4-bs frozen	ATK%/PHYS/ATK%	0/6/12	0/7/13	0/9/16
Aquila Favonia no proc	2	4-bs frozen	ATK%/PHYS/ATK%	0/6/12	0/7/13	0/9/16
Aquila Favonia no proc	3	4-bs frozen	ATK%/PHYS/ATK%	0/6/12	0/7/13	0/9/16
Aquila Favonia no proc	4	4-bs frozen	ATK%/PHYS/ATK%	0/6/12	0/7/13	0/9/16
Aquila Favonia no proc	5	4-bs frozen	ATK%/PHYS/ATK%	0/6/12	0/7/13	0/9/16
Aquila Favonia no proc	1	4-bolide no shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-bolide no shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-bolide no shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-bolide no shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-bolide no shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-bolide with shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-bolide with shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-bolide with shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-bolide with shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-bolide with shield	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-pf 0 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-pf 0 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-pf 0 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-pf 0 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-pf 0 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-pf 1 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-pf 1 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-pf 1 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-pf 1 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-pf 1 stack	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-pf 2 stacks	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-pf 2 stacks	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-pf 2 stacks	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-pf 2 stacks	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-pf 2 stacks	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-glad-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-glad-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-glad-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-glad-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-glad-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-glad-2-bc	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-glad-2-bc	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-glad-2-bc	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-glad-2-bc	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-glad-2-bc	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-bc-2-pf	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-bc-2-pf	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-bc-2-pf	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-bc-2-pf	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-bc-2-pf	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-bc-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-bc-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-bc-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-bc-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-bc-2-bs	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-glad-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-glad-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-glad-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-glad-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-glad-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	2-bs-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	2-bs-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	2-bs-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	2-bs-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	2-bs-2-no	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-no no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-no no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-no no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-no no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-no no active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-no with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	2	4-no with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	3	4-no with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	4	4-no with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	5	4-no with active	ATK%/PHYS/ATK%	0/12/6	0/13/7	0/16/9
Aquila Favonia no proc	1	4-glad	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	2	4-glad	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	3	4-glad	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	4	4-glad	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	5	4-glad	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	1	4-bc no active	ATK%/PHYS/CR	4/5/9	3/7/10	2/10/13
Aquila Favonia no proc	2	4-bc no active	ATK%/PHYS/CR	3/6/9	2/7/11	1/10/14
Aquila Favonia no proc	3	4-bc no active	ATK%/PHYS/CR	1/7/10	1/8/11	0/11/14
Aquila Favonia no proc	4	4-bc no active	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	5	4-bc no active	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	1	4-bc with active	ATK%/PHYS/CR	4/5/9	3/7/10	2/10/13
Aquila Favonia no proc	2	4-bc with active	ATK%/PHYS/CR	3/6/9	2/7/11	1/10/14
Aquila Favonia no proc	3	4-bc with active	ATK%/PHYS/CR	1/7/10	1/8/11	0/11/14
Aquila Favonia no proc	4	4-bc with active	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	5	4-bc with active	ATK%/PHYS/CR	0/7/11	0/8/12	0/11/14
Aquila Favonia no proc	1	4-bs no cryo	ATK%/PHYS/CR	4/5/9	3/7/10	2/10/13
Aquila Favonia no proc	2	4-bs no cryo	ATK%/PHYS/CR	3/6/9	2/7/11	1/10/14
Aquila Favonia no proc	3	4-bs no cryo	ATK%/PHYS/CR	1/7/10	1/8/11	0/11/14
